,polarity,date,tweet,tweet_processed,tweet_processed2
339,,2019-12-30 13:20:18+00:00,Comme le demande @Fabien_Rssl @PCF #stop #Macron doit annoncer #VoeuxMacron2020 le #retrait de la #reformedesretraites autrement les #greves continueront le temps qu’il faudra.,comme demande fabien_rssl pcf stop macron doit annoncer voeuxmacron2020 retrait reformedesretraites autrement greves continueront temps faudra,comme demander fabien_rssl pcf stop macron devoir annoncer voeuxmacron2020 retraire reformedesretraiter autrement grev continuer temps falloir
340,,2019-12-30 13:20:05+00:00,Réforme des retraites : les danseurs de l'Opéra de Paris refusent la «clause du grand-père» https://next.liberation.fr/culture/2019/12/29/reforme-des-retraites-les-danseurs-de-l-opera-de-paris-refusent-la-clause-du-grand-pere_1771299 via @libe #Réformedesretraites #France #Strike #Grève #austerity,réforme retraites danseurs l'opéra paris refusent clause grand-père https //next.liberation.fr/culture/2019/12/29/reforme-des-retraites-les-danseurs-de-l-opera-de-paris-refusent-la-clause-du-grand-pere_1771299 via libe réformedesretraites france strike grève austerity,réformer retrait danseur le opérer pari refuser claus grand-pèr https //next.liberation.fr / culture/2019/12/29/reforme - un - retraite - le - danseur - de - l - oper - de - pari - refuser - le - claus - du - grand - pere_1771299 via libe réformedesretraiter france strike grever austerity
341,,2019-12-30 13:18:59+00:00,"En avril 2020 baisse des #APL pour 1.2 millions de pers et 1,5 Milliards d'économies... Merci Macron et ta bande de #LREM #reformedesretraites #Retraites #GreveGenerale","avril 2020 baisse apl 1.2 millions pers 1,5 milliards d'économies ... merci macron bande lrem reformedesretraites retraites grevegenerale","avril 2020 baisser apl 1.2 million pers 1,5 milliard de économie ... merci macron bander lrem reformedesretraite retrait grevegeneral"
342,,2019-12-30 13:18:16+00:00,"Réforme. L’âge pivot à 64 ans, trappe à précarité des seniors https://shar.es/a3d41x via @humanite_fr #France #precarity #elders #réformedesretraites",réforme âge pivot 64 ans trappe précarité seniors https //shar.es/a3d41x via humanite_fr france precarity elders réformedesretraites,réformer âge pivot 64 an trappe précarité senior http //shar.es / a3d41x via humanite_fr france precarity elder réformedesretraiter
343,,2019-12-30 13:16:01+00:00,"Pour une fois qu'on avait une journaliste qui fait son travail et remet bien la question évitée sur le tapis ! Et vous, chapeau #Retraites #reformedesretraites",fois qu'on journaliste fait travail remet bien question évitée tapis chapeau retraites reformedesretraites,fois que on journaliste faire travail remettre bien question éviter tapir chapeau retrait reformedesretraite
344,,2019-12-30 13:14:21+00:00," Contre la #reformedesretraites . Il faut remettre les #GiletsJaunes du tout débuts dans la rue .Car quand les #syndicats auront obtenu ce qu'ils veulent, ils lâcheront le reste du peuple #ouvriers du privés. Les syndicats travaillent et roulent pour eux pas pour le privé. ",contre reformedesretraites faut remettre giletsjaunes tout débuts rue .car quand syndicats obtenu qu'ils veulent lâcheront reste peuple ouvriers privés syndicats travaillent roulent privé,contrer reformedesretraite falloir remettre giletsjaune tout début ruer .car quand syndicat obtenir que il vouloir lâcher rester peupler ouvrier privé syndicat travailler rouler privé
345,,2019-12-30 13:12:45+00:00,"@EmmanuelMacron @EPhilippePM Parce que faire partir des policiers à 52 ans et laisser sur nos toits et charpentes des ouvriers de 62 ans c'est INDECENT. Mais bon, ils seront presque tous morts avant 62 ans #reformedesretraites .",emmanuelmacron ephilippepm parce faire partir policiers 52 ans laisser toits charpentes ouvriers 62 ans c'est indecent bon presque tous morts avant 62 ans reformedesretraites,emmanuelmacron ephilippepm parce faire partir romanpolicier 52 an laisser toit charpente ouvrier 62 an ce être indecent bon presque tou mort avant 62 an reformedesretraiter
346,,2019-12-30 13:12:45+00:00,"Les petites lignes de cette #reformedesretraites sont inquiétantes car l’état deviendra l’unique gestionnaire de l’ensemble des caisses de retraite et pourra donc à sa guise et à tout moment, faire ce qu’il veut via les lois de finance Ce que dit le rapport Delevoye ",petites lignes cette reformedesretraites inquiétantes car état deviendra unique gestionnaire ensemble caisses retraite pourra donc guise tout moment faire veut via lois finance dit rapport delevoye,petit ligne ce reformedesretraite inquiétant car état devenir unique gestionnaire ensemble caisser retraire pouvoir donc guise tout moment faire vouloir via loi financer dire rapport delevoye
347,,2019-12-30 13:12:25+00:00,"je sais que je vais travailler jusqu'à 64,65,70 ans si la #reformedesretraites passe, que ns serons des retraités pauvres si la réforme passe, que si je soutiens les #GJ, la #GreveGenerale je me bats pr 1 avenir meilleur. Et que #PatrickDrahi proprio de #RMC est milliardaire...","sais vais travailler jusqu 64,65,70 ans si reformedesretraites passe ns retraités pauvres si réforme passe si soutiens gj grevegenerale bats pr avenir meilleur patrickdrahi proprio rmc milliardaire ...","sai vai travailler jusqu 64,65,70 an si reformedesretraite passer ns retraiter pauvre si réformer passer si soutien gj grevegenerale bat pr avenir meilleur patrickdrahi proprio rmc milliardaire ..."
348,,2019-12-30 13:08:47+00:00,"Quand, à court d'argumensonges, le gouvernement et la présidence de la République distillent dans l'opinion l'idée selon laquelle la CGT est illégitime pour discuter de la #reformedesretraites. C'est minable. Toute la bassesse de la macronie est là. ",quand court d'argumensonges gouvernement présidence république distillent l'opinion l'idée selon laquelle cgt illégitime discuter reformedesretraites c'est minable toute bassesse macronie là,quand courir de argumensonge gouvernemer présidence république distiller le opinion le idée selon lequel cgt illégitime discuter reformedesretraite ce être minable tout bassess macronie là
